time,angular_velocity_x,angular_velocity_y,angular_velocity_z
22917000000,0.0140329147209,0.0153027010695,-0.00767321296496
22926200000,0.00835590616128,-0.00408085404995,0.00397840727067
22936200000,0.00146274723705,0.0102062091281,-0.00514701978251
22946200000,-0.00469733918842,-0.00525336321757,0.0101829197759
22956200000,-0.00120337306017,0.0111785349412,0.00612121818353
22966200000,0.0010183027824,0.00791477163981,0.00371654843275
22976200000,-0.00494333322774,0.0077165321035,-0.00344542531896
22986200000,0.0162006695438,-0.00479503976456,0.0189248593234
22996200000,0.00768347670103,0.00697156544353,0.0177061977571
23006200000,-0.0125038933219,0.0129493615419,-0.00725628072338
23016200000,0.0135188250086,-0.0134174243051,0.00818251429733
23026200000,0.00570470104646,0.0218714886577,-0.0120749095902
23036200000,0.00312920976156,0.00346899662298,0.00454496114725
23046200000,-0.00701751950836,-0.00545039371599,-0.00348762907653
23056200000,0.000916427141149,-0.00478354754539,0.000708458178837
23066200000,0.0149570650368,0.0185777920897,0.0178880833066
23076200000,0.00905342657323,-0.0105630211805,0.00909979667408
23086200000,0.00456134237995,0.0155947367998,0.00586790829829
23096200000,0.00041590332562,0.00819681918642,-0.0137310031663
23106200000,0.00228199125804,-0.0145019077824,0.0194067251756
23116200000,-0.00731578837512,0.00177465338092,0.00650503319442
23126200000,9.9326560974e-05,0.00626869269385,-0.0125063928063
23136200000,0.0205715274888,-0.00228475114492,0.00056408564698
23146000000,0.0130335151856,-0.00239260382711,-0.0116383697942
23156200000,-0.00947009991515,0.00301484241529,5.73345893628e-06
23166200000,0.00661641620791,-0.0160340176329,-0.00393779422547
23176200000,-0.012059670972,-0.00132388253019,0.0216246084455
23186200000,-0.00395126314156,-0.000121605877753,-0.0103912263433
23196200000,-0.0208139987847,-0.00151122435046,0.0138882781694
23206200000,0.00530514179267,0.00387553742362,0.0109966421798
23216200000,-0.0103658203874,0.0184564702957,-0.00433103982633
23226200000,0.000721680483474,-0.0125660424002,-0.00763337501552
23236200000,0.0101016340485,0.012694969301,0.0129405067026
23246200000,-0.000758097567463,0.012742077553,0.0017710437976
23256200000,-0.00309776145118,-0.00802383871123,-0.0104100760189
23266200000,0.0142217968712,0.00339426105942,-0.0023770985144
23276200000,0.00688352252954,0.00608434966701,0.00925108211441
23286200000,0.000976560940807,-0.0125281546625,-0.0110343205549
23296200000,0.00628218971151,-0.00746594617166,0.00249673355783
23306200000,0.00263853004235,-0.00740497190674,0.000948459365064
23316200000,0.0103793666981,0.0114937596813,-0.0159698317024
23326200000,-0.000290409507994,0.000967054348621,0.00381624350347
23336200000,-0.0197659971789,0.0196311293407,-0.0265653136039
23346200000,0.0176406219385,-0.00868504728117,0.00280078557705
23356200000,-0.00114373445842,0.00391130035838,-0.0211133253357
23366200000,-0.00453759514055,0.00663664448526,-0.0118451325801
23376200000,0.0052755979247,-0.0152975279264,-0.00531256343059
23386200000,0.00216027701636,0.0190776889771,-0.00282015170529
23396200000,0.0159911258206,0.0080976505369,0.00610118648315
23406200000,-0.000800547939886,-0.0109874226019,-0.00621968507182
23416200000,-0.00688711192815,-0.0115466640446,-0.00747383981163
23426200000,0.0067668758241,-0.00746085701869,-0.0017416946265
23436200000,-0.0056056363067,0.00707526857824,0.006038751154
23446200000,0.0160495232453,-0.00540442823158,0.0108154433167
23456200000,0.00642911749589,0.00760595681357,0.00300182007814
23466200000,0.00549449498662,0.00578735762885,-0.00816310379154
23476200000,0.000300100560592,0.00797951930969,0.0245754428273
23486200000,0.0215609603927,-0.0107847812589,0.00316447135643
23496200000,-0.0126991091804,-0.00798567863785,-0.00875681552822
23506200000,-0.018437615733,-0.00496280014526,0.00325401647213
23516200000,-0.00459440566515,-0.00611234297475,0.00704307170004
23526200000,0.00100860023613,0.00873597735292,-0.000384860226045
23536400000,0.00372282004944,0.00932165591866,0.00699423030896
23546200000,0.00629286879318,-0.0022559583842,-0.00842779078995
23556200000,-0.0109684897555,-0.0106252298191,-0.0178049498373
23566200000,0.00338724079879,0.00185800921062,-0.0243872966379
23576200000,0.00326269707399,0.00412320469863,0.00165110382033
23586200000,-0.0176682848611,-0.00957735715706,0.00149845807926
23596200000,-0.000534504494906,0.00390545618518,-0.0002190388022
23606200000,-0.00238304305587,-0.0067666666857,-0.00436057628992
23616200000,0.030791181078,-0.00184339369061,0.00706294008592
23626200000,0.0208817890688,-0.00119278709957,0.0122864715569
23636200000,0.00701165969021,0.00925160666252,0.0048771741581
23646200000,-0.00650245185188,-0.00535686175623,-0.0110373676938
23656600000,0.00291859784356,-0.0123032779789,-0.0035446595878
23666200000,-0.00607683968908,-0.0137054341895,-0.00672384193148
23676200000,0.00720804821097,-0.0107407001288,-0.00431437340546
23686200000,-0.0108916213679,-0.00505921494129,-0.000535289909218
23696200000,0.00374533547119,-0.0210629554884,0.00979522570933
23706200000,0.00821624588269,0.00832404963504,0.0018368009513
23716200000,0.0091618859248,-0.00784681552539,0.0160517795813
23726200000,-0.00501695415665,-0.00410208315585,-0.0136384476753
23736200000,0.00968832474458,0.0152085678138,0.00157943499133
23746200000,0.00874408330171,0.0160080563207,0.0100357255856
23756200000,0.0132365682419,-0.00708981601147,0.0231736751979
23766200000,0.0109523862416,-0.00443167970906,0.00309014094056
23776200000,0.0171439266658,-0.0089560837015,-0.00751520566488
23786200000,-0.00584668656953,-0.00436108370086,0.0136536701126
23796200000,-0.00785631771889,0.0196087854993,0.0118174520292
23806200000,0.00284623152658,0.00611812747701,-0.00501800770421
23816200000,-0.00315720503619,-0.00843654546362,0.00108554269149
23826200000,-0.00525295053625,0.00203179832491,-0.0105767056226
23836200000,-0.0170500013003,-0.0102364539844,0.00663372040264
23846200000,-0.00689741086871,-0.0084543831178,0.00531696768336
23856200000,-0.010778965344,-0.00527213452708,-0.0155094517233
23879400000,0.0271038177029,0.00631399859406,0.0028864146804
23885600000,0.0141018645595,0.00402437661682,0.00477012204388
23899200000,0.00431947172973,-2.78275188804e-05,-0.00238687067339
23905600000,-0.00558330907428,0.00274253049197,0.00136405959804
23915600000,-0.0172123457883,-0.00959211678722,0.0181990316022
23925600000,0.0149883013827,-0.00117209343404,0.00770783346515
23935600000,-0.0137690684501,0.00376685366381,0.00221374871849
23945600000,0.00857054453655,-0.00811825531709,0.0147770988678
23955600000,0.00710466131998,-0.000452887188725,-0.00513048328914
23965600000,0.0126663741426,-0.00363564670656,0.00721193565545
23975600000,-0.0145759925859,-0.0181873703193,0.000187831129814
23985600000,0.000210792260692,0.0030692607261,-0.0124932243595
23995600000,0.00147716311848,-2.15945181731e-05,0.00320099952781
24005600000,0.00481575615387,0.00673040462353,-0.00020295534537
24015600000,-0.0157098977111,0.017576706355,-0.0184763502635
24025600000,-0.00865949731618,0.00249595135746,-0.00644685721893
24035600000,-0.00455322346274,0.00940411874798,-0.0170361369467
24045600000,0.0145360112599,-0.00959996462747,-0.00695324736975
24055600000,0.00979166279952,-0.00400064688936,0.0168316744837
24065600000,0.00706864331993,0.000397326705142,0.00126711805361
24075600000,0.0232881399738,-0.00211971613355,-0.0153273596238
24085600000,0.00798456236788,0.00653026705278,0.0129908889655
24095600000,0.00590729655298,-0.00290914560224,0.0163767339374
24105600000,0.214100333093,8.90701578986,1.24667208041
24115600000,0.0617405504811,8.33835756782,0.904795604768
24125600000,0.0184338893628,6.98976544412,0.765036610707
24135600000,-0.0401737557573,5.86636739901,0.694184990366
24145600000,-0.0850608218671,4.99835931722,0.645914820171
24155600000,-0.0986196072246,4.31052001614,0.586286720872
24165600000,-0.102919359935,3.72847509146,0.510064028506
24175600000,-0.114908222605,3.27991487096,0.450746371835
24185600000,-0.107007539626,2.89727708416,0.365330324558
24195600000,-0.0964463488453,2.57183742146,0.306927449674
24205600000,-0.0482070496813,2.32948460497,0.212530701909
24215600000,-0.0475680515956,2.12843793963,0.146221637281
24225600000,-0.0466065007914,1.92487888404,0.0905546492625
24235600000,-0.00168170643425,1.78047966901,-0.00948734147553
24245600000,0.0181557628082,1.64646039167,-0.00483127305829
24255600000,0.0171585650842,1.53378861975,-0.0572257420297
24265600000,0.0660579485857,1.39689532054,-0.157119540615
24275600000,0.0987200782081,1.30028753332,-0.233712015753
24285600000,0.163829850993,1.20157897051,-0.324274889771
24295600000,0.209770341703,1.14644158234,-0.423337414564
24305600000,0.283945869939,1.05414178432,-0.516328456236
24315600000,0.322991353062,0.980142570147,-0.592683593208
24325600000,0.37787102947,0.914764038204,-0.674392439659
24335600000,0.434791764354,0.839874567959,-0.769940024388
24345600000,0.484717486235,0.786692424646,-0.827800777587
24355600000,0.538775542568,0.712624259248,-0.933018239205
24365600000,0.607331096201,0.673309662339,-1.01758932738
24375600000,0.63475869032,0.616312829857,-1.06273684056
24385600000,0.717980209011,0.54850982536,-1.17019035439
24395600000,0.776081227817,0.49211497126,-1.23055243792
24405600000,0.80228958789,0.477719159059,-1.28011207696
