time,FR_hip_pos,FR_hip_vel,FR_thigh_pos,FR_thigh_vel,FR_calf_pos,FR_calf_vel
22917000000,0.0168332532048,-1.97647386813e-06,-0.00152464944404,2.85555761366e-05,-1.77835321426,-0.000148663981236
22922800000,0.0168332494795,-4.55743929706e-06,-0.00152435549535,2.86826343654e-05,-1.77835321426,-0.000148081977386
22932800000,0.0168332476169,-3.23951417158e-06,-0.00152406189591,2.86720423901e-05,-1.77835321426,-0.000148075705511
22942600000,0.016833242029,2.83829444925e-06,-0.00152377411723,2.8807158742e-05,-1.77835321426,-0.00014808960259
22952800000,0.0168332383037,-1.00377212675e-06,-0.00152349774726,2.89375857392e-05,-1.77835321426,-0.000148352162796
22962800000,0.0168332327157,1.01236230421e-06,-0.00152319844346,2.88246264972e-05,-1.77835321426,-0.000148361868924
22972800000,0.0168332289904,-1.87808689134e-06,-0.0015229396522,7.46052455725e-06,-1.77835321426,-0.00014819081116
22983000000,0.0168332196772,-3.59657360605e-06,-0.00152312126011,-4.86935568915e-05,-1.77835321426,-0.000158046634169
22993400000,0.0168332066387,-5.26012991031e-06,-0.00152336852625,6.69556868615e-07,-1.77835321426,-0.00015757473011
23003200000,0.0168331973255,-2.94162828141e-06,-0.00152361998335,-5.6686019434e-08,-1.77835321426,-0.000158204740728
23012400000,0.0168331880122,-2.7643689009e-06,-0.00152385863476,-3.23632491472e-07,-1.77835321426,-0.000158820708748
23022600000,0.016833178699,-2.40020017372e-06,-0.00152411591262,-8.49915466006e-07,-1.77835321426,-0.000159356117365
23060800000,0.0168331712484,-6.69356211347e-07,-0.00152442022227,-1.36967037179e-06,-1.77835321426,-0.000160069786943
23060800000,0.0168331656605,2.39577752836e-06,-0.0015247000847,-2.06146205528e-06,-1.77835321426,-0.000160792988027
23060800000,0.0168331619352,-2.77396998172e-06,-0.00152479566168,2.8553615266e-05,-1.77835321426,-0.000149979096022
23103000000,0.0168331582099,1.43725549151e-06,-0.00152450776659,2.87564398604e-05,-1.77835321426,-0.000148078222992
23103200000,0.0168331544846,6.45877946681e-08,-0.00152420252562,2.88179562631e-05,-1.77835321426,-0.000148633276694
23103200000,0.0168331507593,-3.01093041344e-06,-0.00152393209282,2.88513474516e-05,-1.77835321426,-0.000148206585436
23103200000,0.0168331451714,-3.82762522122e-07,-0.0015236386098,2.87575257971e-05,-1.77835321426,-0.000148353661643
23103200000,0.0168331414461,-4.35257788922e-06,-0.00152337376494,2.89169929601e-05,-1.77835321426,-0.000148357677972
23149200000,0.0168331358582,-2.16015200749e-06,-0.0015230801655,2.8949973057e-05,-1.77835321426,-0.000148356004502
23149200000,0.0168331284076,-5.57787234357e-06,-0.00152298435569,-5.04267991346e-05,-1.77835321426,-0.000156572175911
23149200000,0.0168331172317,1.09256632186e-06,-0.00152322289068,-4.91583923576e-05,-1.77835321426,-0.000157126167323
23149200000,0.0168331060559,-1.95617440113e-06,-0.00152348936535,-5.04636773258e-05,-1.77835321426,-0.000157804548508
23152400000,0.0168330967426,-2.6908342079e-06,-0.00152370799333,-1.87424532783e-07,-1.77835321426,-0.000160290044732
23162600000,0.0168330855668,2.20230663217e-06,-0.0015239835484,-9.63862134995e-07,-1.77835321426,-0.000158919123351
23203600000,0.0168330874294,-2.24551536121e-06,-0.00152426492423,-5.47704294149e-05,-1.77835321426,-0.000159933566465
23203600000,0.0168330911547,3.80223355023e-06,-0.00152432115283,2.76130667771e-05,-1.77835321426,-0.000150470645167
23203600000,0.0168330986053,6.54161510738e-07,-0.001524024643,2.81026150333e-05,-1.77835321426,-0.000149093437358
23203600000,0.0168331041932,5.17689159096e-07,-0.00152375653852,2.91635369649e-05,-1.77835321426,-0.000147612154251
23246200000,0.0168331097811,-1.83498082151e-06,-0.00152345490642,2.80249169009e-05,-1.77835321426,-0.000149011961184
23246200000,0.0168331135064,1.87418049791e-06,-0.00152328412514,2.46340027843e-06,-1.77835321426,-0.000155541129061
23246200000,0.0168331135064,-3.16071395901e-06,-0.00152353022713,2.86240521064e-07,-1.77835321426,-0.000159557355801
23246200000,0.0168331116438,2.01211378226e-06,-0.00152377551422,-5.08375342179e-05,-1.77835321426,-0.000158346127137
23286200000,0.0168331116438,-1.19300318602e-06,-0.00152403430548,-5.19512104802e-05,-1.77835321426,-0.000160927796969
23286200000,0.0168331116438,6.1159806819e-07,-0.00152427505236,-1.07914127057e-06,-1.77835321426,-0.0001616585796
23286400000,0.0168331116438,3.14686690217e-06,-0.00152457971126,-5.46861483599e-05,-1.77835321426,-0.000160628129379
23286400000,0.0168331135064,2.68139547188e-06,-0.00152487901505,-5.65668997297e-05,-1.77835321426,-0.000163157965289
23328400000,0.0168331190944,5.47236481907e-07,-0.00152503536083,2.50034681812e-05,-1.77835321426,-0.000154223118443
23328400000,0.0168331284076,1.58815694817e-07,-0.00152477330994,2.81607663055e-05,-1.77835321426,-0.000148584396811
23328600000,0.0168331377208,3.92270948169e-07,-0.0015244827373,2.89036725007e-05,-1.77835321426,-0.000148599647218
23328600000,0.016833147034,3.23667649127e-07,-0.00152419798542,2.85491787508e-05,-1.77835321426,-0.00014861645468
23369200000,0.0168331563473,-1.02501553556e-06,-0.00152391346637,2.87320435746e-05,-1.77835321426,-0.000148663704749
23369200000,0.0168331656605,3.97008307118e-07,-0.0015236120671,2.79504747596e-05,-1.77835321426,-0.000147784579895
23369200000,0.0168331749737,3.45355232412e-07,-0.00152334431186,2.89425497613e-05,-1.77835321426,-0.000148981605889
23369200000,0.016833184287,3.4809107774e-07,-0.00152306933887,2.62207358901e-05,-1.77835321426,-0.000147418933921
23411000000,0.0168331898749,1.67350435731e-06,-0.00152312940918,5.27716792931e-07,-1.77835321426,-0.000156378184329
23411000000,0.0168331917375,3.82125563192e-06,-0.00152338913176,-5.01946960867e-05,-1.77835321426,-0.000160170791787
23411000000,0.0168331954628,4.34534285887e-06,-0.00152364221867,-5.11628168169e-05,-1.77835321426,-0.000159047936904
23411000000,0.0168331954628,-2.79696996586e-06,-0.0015238984488,-6.18676494923e-07,-1.77835321426,-0.000161580042914
23457000000,0.0168331973255,2.17729757424e-06,-0.00152418552898,-5.4108488257e-05,-1.77835321426,-0.000162142299814
23457000000,0.0168331898749,3.13095142701e-06,-0.00152443454135,-9.88886199593e-07,-1.77835321426,-0.000162416763487
23457000000,0.0168331861496,2.66931465376e-07,-0.00152474816423,-5.63425455766e-05,-1.77835321426,-0.000161313990247
23457000000,0.0168331824243,-1.28929366383e-06,-0.00152486027218,2.83064346149e-05,-1.77835321426,-0.000149404178956
23457000000,0.0168331805617,-6.2881440499e-07,-0.00152459542733,2.87587681669e-05,-1.77835321426,-0.00014808155538
23498400000,0.0168331768364,3.31264845954e-06,-0.00152429018635,2.90982152364e-05,-1.77835321426,-0.000148635474034
23498400000,0.0168331731111,-4.50971128885e-06,-0.00152400240768,2.91188462143e-05,-1.77835321426,-0.000148092731251
23498400000,0.0168331693858,1.09626000722e-06,-0.00152372615412,2.87560887955e-05,-1.77835321426,-0.000148362028995
23498400000,0.0168331656605,1.92404718291e-06,-0.00152342102956,2.86052254523e-05,-1.77835321426,-0.000148346065544
23502400000,0.0168331619352,-1.42068506648e-06,-0.00152316200547,2.8723894502e-05,-1.77835321426,-0.000148358056322
23513200000,0.0168331563473,7.99016220299e-07,-0.00152293755673,-2.77144536085e-05,-1.77835321426,-0.000154477602337
23553200000,0.016833147034,-2.40731833401e-06,-0.00152317609172,-4.88759760628e-05,-1.77835321426,-0.000156708265422
